Step	state	ones_in_cycle
0	000000000000000000	0 
1	000000100000000000	1 
2	000000000000111111	1 
3	111111000000000000	1 
4	000000111111000000	1 
5	000000000000111111	1 
6	111111000000000000	1 
7	000000111111000000	1 
8	000000000000111111	1 
9	111111000000000000	1 
10	000000111111000000	1 
11	000000000000111111	1 
12	111111000000000000	1 
13	000000111111000000	1 
14	000000000000111111	1 
15	111111000000000000	1 
16	000000111111000000	1 
17	000000000000111111	1 
18	111111000000000000	1 
19	000000111111000000	1 
20	000000000000111111	1 
21	111111000000000000	1 
22	000000111111000000	1 
23	000000000000111111	1 
24	111111000000000000	1 
25	000000111111000000	1 
26	000000000000111111	1 
27	111111000000000000	1 
28	000000111111000000	1 
29	000000000000111111	1 
30	111111000000000000	1 
31	000000111111000000	1 
32	000000000000111111	1 
33	111111000000000000	1 
34	000000111111000000	1 
35	000000000000111111	1 
36	111111000000000000	1 
37	000000111111000000	1 
38	000000000000111111	1 
39	111111000000000000	1 
40	000000111111000000	1 
41	000000000000111111	1 
42	111111000000000000	1 
43	000000111111000000	1 
44	000000000000111111	1 
45	111111000000000000	1 
46	000000111111000000	1 
47	000000000000111111	1 
48	111111000000000000	1 
49	000000111111000000	1 
50	000000000000111111	1 
