Step	state	ones_in_cycle
0	000000000000000000	0 
1	000000000000001000	1 
2	000110000000000000	1 
3	000000010010000010	1 
4	000000000101001100	1 
5	100111001000000000	1 
6	001000010010100010	1 
7	010000000101001100	1 
8	100111101000000000	1 
9	001000010010100011	1 
10	010000000101011100	1 
11	100111101000000000	1 
12	001000010010100011	1 
13	010000000101011100	1 
14	100111101000000000	1 
15	001000010010100011	1 
16	010000000101011100	1 
17	100111101000000000	1 
18	001000010010100011	1 
19	010000000101011100	1 
20	100111101000000000	1 
21	001000010010100011	1 
22	010000000101011100	1 
23	100111101000000000	1 
24	001000010010100011	1 
25	010000000101011100	1 
26	100111101000000000	1 
27	001000010010100011	1 
28	010000000101011100	1 
29	100111101000000000	1 
30	001000010010100011	1 
31	010000000101011100	1 
32	100111101000000000	1 
33	001000010010100011	1 
34	010000000101011100	1 
35	100111101000000000	1 
36	001000010010100011	1 
37	010000000101011100	1 
38	100111101000000000	1 
39	001000010010100011	1 
40	010000000101011100	1 
41	100111101000000000	1 
42	001000010010100011	1 
43	010000000101011100	1 
44	100111101000000000	1 
45	001000010010100011	1 
46	010000000101011100	1 
47	100111101000000000	1 
48	001000010010100011	1 
49	010000000101011100	1 
50	100111101000000000	1 
